;Geo.;Classe;Subclasses;Setor;Ativo;Ticker;Qnt.;Cotação;Cotação USD;Total;% Atual;% Ideal - Ref.;Variação
0;BR;RF;Juros Pos;-;Tesouro SELIC;SELIC;13862.74;1.0;;13862.74;0.0467365723305085;0.0776972407385734;-0.0309606684080648
1;BR;RF;Juros Pos;-;Fundo DI Simples;FDI;5100.0;1.0;;5100.0;0.0171940392401565;0.0356112353385128;-0.0184171960983562
2;BR;RF;Juros Pos;-;Fundo Renda Fixa High Grade Credito Privado;FRFH;0.0;1.0;;0.0;0.0;0.0258990802461911;-0.0258990802461911
3;BR;RF;Juros Pos;-;Letra de Credito LCI LCA;LC;7313.1;1.0;;7313.1;0.0246552408563115;0.0207192641969529;0.0039359766593586
4;BR;RF;Juros Pos;-;CDB High Yield Pos Fixado;CDB;16725.11;1.0;;16725.11;0.0563867054171251;0.0310788962954293;0.0253078091216957
5;BR;RF;Juros Prefixados;-;Tesouro PREFIXADO Curto;PRE;11760.68;1.0;;11760.68;0.0396497241965348;0.0420860054000605;-0.0024362812035257
6;BR;RF;Inflacao;-;Tesouro IPCA 2029;IPCA;6697.88;1.0;;6697.88;0.0225811003014241;0.0517981604923822;-0.0292170601909581
7;BR;RF;Inflacao;-;Tesouro IPCA 2040;IPCA;9338.06;1.0;;9338.06;0.0314821509918312;0.0356112353385128;-0.0041290843466815
8;BR;RF;Inflacao;-;Tesouro IPCA 2050;IPCA;2400.0;1.0;;2400.0;0.008091312583603;0.0194243101846433;-0.0113329976010402
9;BR;RF;Inflacao;-;CDB Inflacao;CDBI;0.0;1.0;;0.0;0.0;0.0161869251538694;-0.0161869251538694
10;BR;RF;Inflacao;-;IMAB;IMAB11;71.0;102.8;;7298.8;0.0246070301205199;0.011654586110786;0.0129524440097339
11;BR;RF;Previdencia;-;Plano PGBL;PGBL;23400.0;1.0;;23400.0;0.0788902976901302;0.0388486203692867;0.0400416773208435
14;BR;RV;Acoes;UTL;Cemig;CMIG4;210.0;12.85;;2698.5;0.0090976695861887;0.0077697240738573;0.0013279455123313
15;BR;RV;Acoes;CNC;JBS;JBSS3;142.0;34.2;;4856.4;0.0163727710129208;0.011654586110786;0.0047181849021348
16;BR;RV;Acoes;FIN;Santander;SANB11;165.0;28.9;;4768.5;0.0160764266895464;0.0142444941354051;0.0018319325541412
17;BR;RV;Acoes;FIN;Banco do Brasil;BBAS3;110.0;25.5;;2805.0;0.0094567215820861;0.0161869251538694;-0.0067302035717833
18;BR;RV;Acoes;FIN;BTG Pactual;BPAC11;71.0;41.2;;2925.2;0.0098619614856292;0.0097121550923216;0.0001498063933075
19;BR;RV;Acoes;FIN;Itau Unibanco;ITUB3;157.0;33.8;;5306.6;0.0178905663967093;0.0194243101846433;-0.0015337437879339
20;BR;RV;Acoes;IND;Weg;WEGE3;0.0;8.45;;0.0;0.0;0.0064747700615477;0.00323738503077385
21;BR;RV;Acoes;UTL;Sabesp;SBSP3;135.0;71.2;;9612.0;0.0324057068973304;0.0129495401230955;0.0194561667742348
22;BR;RV;Acoes;UTL;Engie Brasil;EGIE3;165.0;39.8;;6567.0;0.0221398540568839;0.011654586110786;0.0104852679460979
23;BR;RV;Acoes;UTL;Copel;CPLE6;112.0;7.95;;890.4;0.0030018769685167;0.0097121550923216;-0.0067102781238049
24;BR;RV;Acoes;SD;Dasa;DASA3;315.0;6.8;;2142.0;0.0072214964808657;0.0077697240738573;-0.0005482275929915
25;BR;RV;Acoes;SD;Rede DOr;RDOR3;98.0;28.9;;2832.2;0.0095484231230145;0.0090646780861668;0.0004837450368477
26;BR;RV;Acoes;FIN;Bradesco;BBDC4;240.0;15.2;;3648.0;0.0122987951270767;0.0181293561723337;-0.005830561045257
27;BR;RV;Acoes;CNC;Ambev;ABEV3;0.0;5.85;;0.0;0.0;0.0071222470677025;0.00356112353385125
28;BR;RV;Acoes;SD;Fleury;FLRY3;0.0;2.89;;0.0;0.0;0.0103596320984764;0.0051798160492382
29;BR;RV;Acoes;PG;Petrobras;PETR4;64.0;38.75;;2480.0;0.0083610230013708;0.0161869251538694;-0.0078259021524986
30;BR;RV;Acoes;FIN;XP Inc;XPBR31;0.0;23.9;;0.0;0.0;0.0084172010800121;-0.0084172010800121
