Mes,Data,Estrategia,Geo,Classe,Subclasses,Setor,Ativo,Ticker,Qnt_Total,Cotacao,Total,Pct_Atual,Pct_Ideal,Variacao,Qnt_Aportado,Valor_Aportado
1,2023-08-01 22:50:08.128139,Deficit,BR,RF,Juros Pos,-,Tesouro SELIC,SELIC,13862.74,1.032955452288,14319.59286665095,6.798269117427405,7.76972407385734,-0.9714549564299348,59.79009721525875,61.76050691133109
1,2023-08-01 22:50:08.128139,Deficit,BR,RF,Juros Pos,-,Fundo DI Simples,FDI,5100.0,1.032955452288,5268.0728066688,2.5010331650799023,3.56112353385128,-1.0600903687713776,61.96457908954317,64.00664981927461
1,2023-08-01 22:50:08.128139,Deficit,BR,RF,Juros Pos,-,Fundo Renda Fixa High Grade Credito Privado,FRFH,0.0,1.032955452288,0.0,0.0,2.58990802461911,-2.58990802461911,147.30921247424013,152.1638541975178
1,2023-08-01 22:50:08.128139,Deficit,BR,RF,Inflacao,-,Tesouro IPCA 2029,IPCA,6697.88,1.002699957792,6715.963993295881,3.188423793508035,5.17981604923822,-1.9913922557301853,118.87581784078246,119.19677753144205
1,2023-08-01 22:50:08.128139,Deficit,BR,RF,Inflacao,-,Tesouro IPCA 2050,IPCA,2400.0,1.002699957792,2406.4798987008,1.142483458112012,1.94243101846433,-0.7999475603523181,47.657669555886564,47.78634325215254
1,2023-08-01 22:50:08.128139,Deficit,BR,RF,Inflacao,-,CDB Inflacao,CDBI,0.0,1.002699957792,0.0,0.0,1.61869251538694,-1.61869251538694,94.84632779168467,95.10240887344841
1,2023-08-01 22:50:08.128139,Deficit,BR,RV,Acoes,FIN,Banco do Brasil,BBAS3,110.0,21.669544219970703,2383.6498641967773,1.1316448316256436,1.61869251538694,-0.4870476837612965,1.0,21.669544219970703
1,2023-08-01 22:50:08.128139,Deficit,BR,RV,Acoes,FIN,Itau Unibanco,ITUB3,157.0,20.663541793823242,3244.176061630249,1.5401821920958243,1.94243101846433,-0.4022488263685058,1.0,20.663541793823242
1,2023-08-01 22:50:08.128139,Deficit,BR,RV,Acoes,UTL,Copel,CPLE6,112.0,7.707736968994141,863.2665405273438,0.40983834646885486,0.97121550923216,-0.5613771627633052,4.0,30.830947875976562
1,2023-08-01 22:50:08.128139,Deficit,BR,RV,Acoes,CNC,Ambev,ABEV3,0.0,13.141175270080566,0.0,0.0,0.71222470677025,-0.71222470677025,3.0,39.4235258102417
1,2023-08-01 22:50:08.128139,Deficit,BR,RV,Acoes,SD,Fleury,FLRY3,0.0,14.364408493041992,0.0,0.0,1.03596320984764,-1.03596320984764,4.0,57.45763397216797
1,2023-08-01 22:50:08.128139,Deficit,BR,RV,Acoes,PG,Petrobras,PETR4,64.0,23.717632293701172,1517.928466796875,0.7206410345870811,1.61869251538694,-0.898051480799859,2.0,47.435264587402344
1,2023-08-01 22:50:08.128139,Deficit,BR,RV,Acoes,SD,Raia Drogasil,RADL3,0.0,28.246694564819336,0.0,0.0,1.10071091046312,-1.10071091046312,2.0,56.49338912963867
1,2023-08-01 22:50:08.128139,Deficit,BR,RV,Acoes,UTL,Taesa,TAEE11,0.0,30.054977416992188,0.0,0.0,1.23020631169407,-1.23020631169407,2.0,60.109954833984375
1,2023-08-01 22:50:08.128139,Deficit,BR,RV,Acoes,CC,SBF,SBFG3,0.0,12.371768951416016,0.0,0.0,0.97121550923216,-0.97121550923216,4.0,49.48707580566406
1,2023-08-01 22:50:08.128139,Deficit,BR,RV,Acoes,COM,Tim,TIMS3,142.0,3.031285047531128,430.44247674942017,0.2043538404872916,1.03596320984764,-0.8316093693603483,16.0,48.50056076049805
1,2023-08-01 22:50:08.128139,Deficit,BR,RV,Acoes,BI,Suzano,SUZB3,0.0,45.48790740966797,0.0,0.0,1.42444941354051,-1.42444941354051,1.0,45.48790740966797
1,2023-08-01 22:50:08.128139,Deficit,BR,RV,FIIs,HIB,Btg Pactual Terras Agri,BTCR11,0.0,7.396085262298584,0.0,0.0,0.84172010800121,-0.84172010800121,6.0,44.376511573791504
1,2023-08-01 22:50:08.128139,Deficit,BR,RV,FIIs,HIB,Vinci Offices,VINO11,41.0,7.5598859786987305,309.95532512664795,0.14715220846104135,1.1654586110786,-1.0183064026175588,7.0,52.91920185089111
1,2023-08-01 22:50:08.128139,Deficit,BR,RV,FIIs,LOG,Patria Renda Imobiliaria,PATC11,0.0,55.251956939697266,0.0,0.0,1.1654586110786,-1.1654586110786,1.0,55.251956939697266
1,2023-08-01 22:50:08.128139,Deficit,BR,RV,FIIs,LOG,Hedge Logistica,HGBS11,32.0,19.452016830444336,622.4645385742188,0.29551688296515877,1.42444941354051,-1.128932530575351,3.0,58.35605049133301
1,2023-08-01 22:50:08.128139,Deficit,BR,RV,FIIs,SHO,Iguatemi,IGTI11,0.0,20.482725143432617,0.0,0.0,0.9064678086166801,-0.9064678086166801,2.0,40.965450286865234
1,2023-08-01 22:50:08.128139,Deficit,BR,RV,FIIs,REC,Victoria Fundo de Fundos,VGIR11,0.0,7.437168121337891,0.0,0.0,0.71222470677025,-0.71222470677025,5.0,37.18584060668945
1,2023-08-01 22:50:08.128139,Deficit,BR,RV,FIIs,REC,Maxi Renda,MXRF11,0.0,8.367039680480957,0.0,0.0,1.03596320984764,-1.03596320984764,7.0,58.5692777633667
1,2023-08-01 22:50:08.128139,Deficit,BR,RV,Criptoativos,-,Hashdex Crypto Index,HASH11,56.0,23.239999771118164,1301.4399871826172,0.6178624878123338,1.61869251538694,-1.0008300275746063,2.0,46.47999954223633
1,2023-08-01 22:50:08.128139,PO,BR,RF,Juros Pos,-,Tesouro SELIC,SELIC,13862.74,1.032955452288,14319.59286665095,6.798269117427405,7.76972407385734,-0.9714549564299348,6.2172553,6.422147760401465
1,2023-08-01 22:50:08.128139,PO,BR,RV,Acoes,UTL,Cemig,CMIG4,210.0,7.431638240814209,1560.644030570984,0.7409203749805724,0.77697240738573,-0.03605203240515764,12.0,89.17965888977051
1,2023-08-01 22:50:08.128139,PO,BR,RV,Acoes,UTL,Taesa,TAEE11,0.0,30.054977416992188,0.0,0.0,1.23020631169407,-1.23020631169407,80.0,2404.398193359375
1,2023-08-01 22:50:08.128139,Deficit,BR,RF,Juros Pos,-,Tesouro SELIC,SELIC,15010.849921376186,1.032955452288,15469.673197723208,7.2581277195853655,7.76972407385734,-0.5115963542719744,1088.3198241609273,1088.3198241609273
2,2023-09-01 22:50:08.128139,Deficit,BR,RF,Juros Pos,-,Tesouro SELIC,SELIC,15010.849921376186,1.0447311444440832,15682.302417437719,7.41293657582498,7.76972407385734,-0.35678749803236,25.39855161105411,26.534657891838673
2,2023-09-01 22:50:08.128139,Deficit,BR,RF,Juros Pos,-,Fundo DI Simples,FDI,5161.964579089543,1.0447311444440832,5392.865162292039,2.54917717729988,3.56112353385128,-1.0119463565514,59.67569143638899,62.34505340983064
2,2023-09-01 22:50:08.128139,Deficit,BR,RF,Juros Pos,-,Fundo Renda Fixa High Grade Credito Privado,FRFH,147.30921247424013,1.0447311444440832,153.89852213536952,0.07274697001341779,2.58990802461911,-2.517161054605692,144.24621177301617,150.69850990734676
2,2023-09-01 22:50:08.128139,Deficit,BR,RF,Inflacao,-,Tesouro IPCA 2029,IPCA,6816.755817840783,1.0050061676949216,6850.881640600226,3.2383734057942544,5.17981604923822,-1.941442643443966,117.86545657042562,118.45551081145567
2,2023-09-01 22:50:08.128139,Deficit,BR,RF,Inflacao,-,Tesouro IPCA 2050,IPCA,2447.6576695558865,1.0050061676949216,2459.9110543094444,1.1627861867712952,1.94243101846433,-0.7796448316930349,47.23667045537855,47.47314514902792
2,2023-09-01 22:50:08.128139,Deficit,BR,RF,Inflacao,-,CDB Inflacao,CDBI,94.84632779168467,1.0050061676949216,95.32114441385734,0.04505777143343909,1.61869251538694,-1.573634743953501,93.74148018399515,94.2107657537664
2,2023-09-01 22:50:08.128139,Deficit,BR,RV,Acoes,FIN,Banco do Brasil,BBAS3,111.0,21.481138229370117,2384.406343460083,1.127095532567359,1.61869251538694,-0.491596982819581,1.0,21.481138229370117
2,2023-09-01 22:50:08.128139,Deficit,BR,RV,Acoes,FIN,Itau Unibanco,ITUB3,158.0,19.461299896240234,3074.885383605957,1.4534811100987841,1.94243101846433,-0.48894990836554597,1.0,19.461299896240234
2,2023-09-01 22:50:08.128139,Deficit,BR,RV,Acoes,IND,Weg,WEGE3,0.0,34.76155090332031,0.0,0.0,0.64747700615477,-0.64747700615477,1.0,34.76155090332031
2,2023-09-01 22:50:08.128139,Deficit,BR,RV,Acoes,UTL,Copel,CPLE6,116.0,7.984330654144287,926.1823558807373,0.4378012156019776,0.97121550923216,-0.5334142936301824,4.0,31.93732261657715
2,2023-09-01 22:50:08.128139,Deficit,BR,RV,Acoes,FIN,Bradesco,BBDC4,240.0,12.876049041748047,3090.2517700195312,1.4607447149478263,1.81293561723337,-0.3521909022855436,1.0,12.876049041748047
2,2023-09-01 22:50:08.128139,Deficit,BR,RV,Acoes,CNC,Ambev,ABEV3,3.0,12.239156723022461,36.71747016906738,0.017356142634093748,0.71222470677025,-0.6948685641361562,3.0,36.71747016906738
2,2023-09-01 22:50:08.128139,Deficit,BR,RV,Acoes,SD,Fleury,FLRY3,4.0,13.160687446594238,52.64274978637695,0.024883933172307488,1.03596320984764,-1.0110792766753325,4.0,52.64274978637695
2,2023-09-01 22:50:08.128139,Deficit,BR,RV,Acoes,PG,Petrobras,PETR4,66.0,25.278610229492188,1668.3882751464844,0.7886377993679602,1.61869251538694,-0.8300547160189798,1.0,25.278610229492188
2,2023-09-01 22:50:08.128139,Deficit,BR,RV,Acoes,SD,Raia Drogasil,RADL3,2.0,26.79388999938965,53.5877799987793,0.02533064366419211,1.10071091046312,-1.075380266798928,2.0,53.5877799987793
2,2023-09-01 22:50:08.128139,Deficit,BR,RV,Acoes,UTL,Taesa,TAEE11,2.0,29.285242080688477,58.57048416137695,0.027685940032687373,1.23020631169407,-1.2025203716613826,2.0,58.57048416137695
2,2023-09-01 22:50:08.128139,Deficit,BR,RV,Acoes,MAT,CSN,CSNA3,195.0,10.434951782226562,2034.8155975341797,0.9618459436956069,1.1654586110786,-0.2036126673829931,1.0,10.434951782226562
