mes,data,investido,valor_def,valor_po,deficit_def,deficit_po,rent_def_corr,rent_po_corr,drift_RF_def,drift_RF_po,drift_RV_def,drift_RV_po
1,2023-08-01 22:50:08.128139,299114.42000000004,213135.86361920543,213135.86361921497,88192.0842720263,88192.08427202303,-28.74437025830938,-28.744370258306184,9.613490317568306,8.852513638444904,-9.613490317568013,-8.852513638444615
2,2023-09-01 22:50:08.128139,301614.42000000004,214053.1713650531,213964.6170689073,87101.01900268036,86945.42654584945,-29.030856228607014,-29.060216328878685,10.50974976877047,8.997857719439672,-10.509749768770178,-8.997857719439374
3,2023-10-01 22:50:08.128139,304114.42000000004,217354.982193022,217388.6417113998,87437.54752735607,86172.29813306115,-28.528551131175572,-28.517483086990826,10.797128017645308,8.515189361425563,-10.797128017645003,-8.515189361425257
4,2023-11-01 22:50:08.128139,306614.42000000004,217461.03353940253,217241.34393525583,85971.46471478716,83415.79490385225,-29.076710241024372,-29.148360362420068,11.86033094910124,8.848328433179786,-11.860330949100945,-8.848328433179498
5,2023-12-01 22:50:08.128139,309114.42000000004,230267.41468445564,230073.9150914309,89138.4068322145,86198.90297363658,-25.507385037406017,-25.569983085411906,10.089085219368998,7.486682028119107,-10.089085219368693,-7.486682028118807
6,2024-01-01 22:50:08.128139,311614.42000000004,237837.68692525322,238553.6508286562,92906.95427666293,88827.15259356222,-23.675647960947,-23.445888406365746,9.609377770180727,6.179634278207191,-9.609377770180433,-6.179634278206891
7,2024-02-01 22:50:08.128139,314114.42000000004,239961.98159626737,240551.35846279765,92893.06488883075,87799.20525207745,-23.60682403683748,-23.419192769692764,10.215155234819562,7.139244595882587,-10.215155234819262,-7.139244595882288
8,2024-03-01 22:50:08.128139,316614.42000000004,246971.45527665183,247340.3738267963,94279.60162599382,88138.13345628808,-21.996144308066633,-21.87962448874051,9.839388595500553,6.465738223929152,-9.839388595500232,-6.465738223928841
9,2024-04-01 22:50:08.128139,319114.42000000004,251753.12452729946,252418.18892719276,95156.38030950457,87814.73902282545,-21.108822181304298,-20.900412796390476,9.89232680310691,5.793103234830954,-9.892326803106622,-5.793103234830655
10,2024-05-01 22:50:08.128139,321614.42000000004,251727.82592860315,251778.79945756905,95462.35339879994,86749.78867899145,-21.729931783343815,-21.714082516085874,10.90330415058116,7.134893927643593,-10.903304150580867,-7.134893927643304
11,2024-06-01 22:50:08.128139,324114.42000000004,257514.6481815628,257173.37974250838,97856.17792477662,88149.08362216217,-20.548228560283498,-20.653521141543674,10.795481174029964,6.461794721084652,-10.795481174029675,-6.461794721084346
12,2024-07-01 22:50:08.128139,326614.42000000004,265623.28148632095,265326.27976828907,101313.04956413929,90637.59259694204,-18.6737433435055,-18.76467678056314,10.185335145370377,5.254451861776999,-10.185335145370095,-5.25445186177671
13,2024-08-01 22:50:08.128139,329114.42000000004,274401.38965461426,273839.9730315637,104330.66763916197,93281.33200501057,-16.624318784143753,-16.79490280870597,9.610280201290177,4.162095590268272,-9.61028020128989,-4.162095590267989
14,2024-09-01 22:50:08.128139,331614.42000000004,284114.2192751153,283633.28999675054,106985.09488045998,95455.39377649264,-14.323924974337586,-14.468951622564996,8.88940884889341,2.8984163877260496,-8.88940884889312,-2.8984163877257663
15,2024-10-01 22:50:08.128139,334114.42000000004,281833.3916119858,279106.60346512287,106824.82349409568,93938.18824416016,-15.647642022758024,-16.46376607596798,10.261622788891312,3.8512543573670346,-10.261622788891028,-3.85125435736674
16,2024-11-01 22:50:08.128139,336614.42000000004,287438.23277191486,284500.85719045805,109162.05912227799,94437.66889426517,-14.609055437400798,-15.481678654628638,10.269228328494906,3.2906702144198494,-10.269228328494624,-3.2906702144195554
17,2024-12-01 22:50:08.128139,339114.42000000004,295694.0284429687,292269.5571820992,113774.88150539239,97196.79964388411,-12.804053439258457,-13.813881113607863,9.843240484916471,2.4379064476248935,-9.84324048491616,-2.437906447624605
18,2025-01-01 22:50:08.128139,341614.42000000004,296666.1430260403,292551.0430210387,115089.57108290166,96630.62605644099,-13.157605283160978,-14.36220900129489,10.585740881055749,2.5976302197896373,-10.585740881055456,-2.5976302197893153
19,2025-02-01 22:50:08.128139,344114.42000000004,301909.5811925841,297175.9557965627,114810.16124281906,95198.29820933416,-12.264769028689903,-13.64036537714325,10.710753505056381,2.231973051367592,-10.710753505056081,-2.2319730513673086
20,2025-03-01 22:50:08.128139,346614.42000000004,302530.70309398323,297521.4497395711,114743.20734890689,94205.03831476982,-12.718373605465349,-14.163568342144838,11.70133607802537,3.373000153588884,-11.701336078025083,-3.37300015358859
21,2025-04-01 22:50:08.128139,349114.42000000004,308621.53357407206,303317.7250987068,114953.68577488633,92957.0989255396,-11.598743594128248,-13.117961412563039,11.729818925782642,3.708868788353553,-11.729818925782348,-3.7088687883532367
22,2025-05-01 22:50:08.128139,351614.42000000004,320499.5851262987,318075.888495841,117122.09420922093,93536.6278681561,-8.849135047903134,-9.53844029040647,10.873710658810932,2.0081751459691377,-10.873710658810614,-2.008175145968838
23,2025-06-01 22:50:08.128139,354114.42000000004,324429.8847769767,321324.6486029579,118202.68265140898,92901.59073718115,-8.382752451318787,-9.259654378672899,11.23449827929175,1.8171791290398254,-11.234498279291444,-1.8171791290395256
24,2025-07-01 22:50:08.128139,356614.42000000004,327276.59154179215,323824.6486029579,118784.79935470704,92148.89871752623,-8.226764486474746,-9.194740750259667,11.424439881788118,1.4927442776774935,-11.424439881787823,-1.4927442776771938
